Net,Start_Time_hh,Start_Time_mm,End_Time_hh,End_Time_mm,Year(XXXX),Month(XX),Day(XX),Fishermen,Fishing_field,Depth,Distance_to_Shore,Commants,Fishing_field_text,Storm,Speed,High_Sea,Net_Type,night,Fish_gear,Net,Anshubi,Bakala,Barbon,Ben_Gurion,Crab,Denis,Farida,Fish,Gambari,Gerbida,Hazir,Hulim,Intias,Jelly_Fish,Kalamari,Lavan,Makarunim,Malitta,Marmir,Musar,Palamud,Pas_Tzahov,Rofus,Rofus_Fake,Sabida,Saragus,Sardin,Scombri,Soltan,Soltan_Fake,Soltan_Mix,Special,Tarachun,Taref,Televisia,Trulus,Missing,Comments,Lokus,Muslach,Gitara,Box_General,Tziporot,Varod,Vest,Shed Yam,Very_weak,Daba,Octepus,Adom,Hazaim,Lokus_manot,Soltan_Hul,Gerbid_new,barbon_vadim,Cristal,Kaptzon
65,19,45,04,30,1978,06,14,Levi,Borot,,,,,FALSE,,FALSE,,FALSE,FALSE,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,30 Kg,,,,,FALSE,,,,,,,,,,
66,05,30,09,45,1978,06,15,Levi,Borot E,10,,,,FALSE,,FALSE,,FALSE,FALSE,66,,,,,,,,,5 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,8,,,,,FALSE,,,,,,,,,,
67,10,30,14,00,1978,06,15,Levi,,10,,,,FALSE,,FALSE,,FALSE,FALSE,67,,,,,,,,,3 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,8,,,,,FALSE,,,,,,,,,,
68,14,45,18,15,1978,06,15,Levi,Borot E,10,,,,FALSE,,FALSE,,FALSE,FALSE,68,,,,,,,,,3 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,3,,,,,FALSE,,,,,,,,,,
69,19,15,05,00,1978,06,15,Levi,Borot,,,,,FALSE,,FALSE,,FALSE,FALSE,69,,,,,,,,,30 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
70,05,30,11,30,1978,06,16,Levi,Borot E,,,,,FALSE,,FALSE,Gambari,FALSE,FALSE,70,,,,,,,,,8 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,6,,,,,FALSE,,,,,,,,,,
71,11,45,18,00,1978,06,16,Levi,Borot E,9,,,,FALSE,,FALSE,,FALSE,FALSE,71,,,,,,,,,8 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,4,,,,,FALSE,,,,,,,,,,
72,19,30,05,00,1978,06,16,Levi,Borot,,,,,FALSE,,FALSE,,FALSE,FALSE,72,,,,,,,,,25 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
73,05,30,10,00,1978,06,17,Levi,Borot E,10,,,,FALSE,,FALSE,,FALSE,FALSE,73,,,,,,,,,12 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,18,,,,,FALSE,,,,,,,,,,
74,10,30,14,30,1978,06,17,Levi,Borot E,10,,,,FALSE,,FALSE,,FALSE,FALSE,74,,,,,,,,,6 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,10,,,,,FALSE,,,,,,,,,,
